Season;Adélie breeding pairs;Date of pair count;Chinstrap breeding pairs;Date of pair count;Gentoo breeding pairs;Date of pair count
1978/79;873;5 Dec.1978;2050;14 Dec. 1978;370;26 Nov. 1978
1979/80;2269;16 Nov. 1979;2253;08 Dec. 1979;303;19 Nov. 1979
1980/81;1726;11 Nov. 1980;1809;29 Dec. 1980;330;11 Nov. 1980
1981/82;1831;22 Nov. 1981;2250;25 Dec. 1981;341;22 Nov. 1981
1982/83;2631;19 Nov. 1982;2334;04 Dec. 1982;299;21 Nov. 1982
1983/84;2334;23 Nov. 1983;2176;08 Dec. 1983;330;23 Nov. 1983
1984/85;2464;11 Nov. 1984;1929;12 Dec. 1984;370;11 Nov. 1984
1985/86;2787;09 Nov. 1985;2219;19 Dec. 1985;407;09 Nov. 1985
1986/87;3055;07 Nov. 1986;2218;16 Dec. 1986;362;07 Nov. 1986
1987/88;3063;08 Nov. 1987;1820;07 Dec. 1987;500;18 Nov. 1987
1988/89;3395;06 Nov. 1988;2206;09 Dec. 1988;532;06 Nov. 1988
1989/90;2904;06 Nov. 1989;2405;07 Dec. 1989;605;18 Nov. 1989
1990/91;2012;04 Nov. 1990;1761;06 Dec. 1990;390;18 Nov. 1990
1991/92;2496;05 Nov. 1991;2181;06 Dec. 1991;484;04 Dec. 1991
1992/93;2546;05 Nov. 1992;2145;07 Dec. 1992;536;26 Nov. 1992
1993/94;2725;04 Nov. 1993;2277;05 Dec. 1993;568;21 Nov. 1993
1994/95;2074;08 Nov. 1994;1655;06 Dec. 1994;595;18 Nov. 1994
1995/96;2417;07 Nov. 1995;1748;07 Dec. 1995;677;18 Nov. 1995
1996/97;2676;09 Nov. 1996;1694;05 Dec. 1996;726;19 Nov. 1996
1998/99;2688;13 Nov. 1998;1836;07 Dec. 1998;898;27 Nov. 1998
1999/00;1313;11 Nov. 1999;1440;06 Dec. 1999;851;20 Nov. 1999
2000/01;1939;13 Nov. 2000;1579;11 Dec. 2000;957;25 Nov. 2000
2001/02;1888;15 Nov. 2001;1785;09 Dec. 2001;954;25 Nov. 2001
2002/03;2337;14 Nov. 2002;1786;11 Dec. 2002;937;25 Nov. 2002
2003/04;1533;15 Nov. 2003;1847;14 Dec. 2003;790;27 Nov. 2003
2004/05;1560;12 Nov. 2004;1791;11 Dec. 2004;800;25 Nov. 2004
2005/06;1601;15 Nov. 2005;1562;19 Dec. 2005;704;30 Nov. 2005
2006/07;1690;20 Nov. 2006;1527;17 Dec. 2006;668;30 Nov. 2006
2007/08;1299;25 Nov. 2007;1513;17 Dec. 2007;689;05 Dec. 2007
2008/09;1474;22 Nov 2008;1564;07 Dec. 2008;730;06 Dec. 2008
2009/10;901;17 Nov. 2009;1159;11 Dec. 2009;753;18 Nov. 2009
2011/12;1659;24 Nov. 2011;1625;09 Dec. 2011;1009;24 Nov. 2011
2012/13;1040;3 Dec. 2012;1053;17 Dec. 2012;760;03 Dec. 2012
2013/14;1731;3 Dec. 2013;1417;19 Dec. 2013;1136;09 Dec. 2013
2014/15;1873;1 Dec. 2014;1533;19 Dec.2014;1197;01 Dec. 2014
2015/16;2212;23 Nov. 2015;1464;16 Dec. 2015;1315;23 Nov. 2015